id	query	operator	side	expected	sub_semantics	super_semantics	sub_federation	super_federation
001-chain_10-add_fresh_variable_clause_at_contacted_member_to_sub	chain_10	add_fresh_variable_clause_at_contacted_member_to_sub	sub	not contained	bag-set	bag-set		
002-chain_10-add_fresh_variable_clause_at_new_member_to_sub	chain_10	add_fresh_variable_clause_at_new_member_to_sub	sub	not contained	bag-set	bag-set		
003-chain_10-add_member_to_super	chain_10	add_member_to_super	super	not contained	bag-set	bag-set		
004-chain_10-add_shared_variable_clause_to_sub	chain_10	add_shared_variable_clause_to_sub	sub	contained	bag-set	bag-set		
005-chain_local_10-assign_federation	chain_local_10	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
006-chain_10-bind_local_variable	chain_10	bind_local_variable	sub	contained	bag-set	bag-set		
007-chain_10-drop_head_variable	chain_10	drop_head_variable	sub	not contained	bag-set	bag-set		
008-chain_10-drop_head_variable	chain_10	drop_head_variable	super	not contained	bag-set	bag-set		
009-chain_10-drop_head_variable	chain_10	drop_head_variable	both	contained	bag-set	bag-set		
010-chain_10-drop_variable_from_super	chain_10	drop_variable_from_super	super	not contained	bag-set	bag-set		
011-chain_10-identity	chain_10	identity	both	contained	bag-set	bag-set		
012-chain_10-relax_clause	chain_10	relax_clause	sub	not contained	bag-set	bag-set		
013-chain_10-relax_clause	chain_10	relax_clause	super	contained	bag-set	bag-set		
014-chain_10-rename_local_variable	chain_10	rename_local_variable	sub	contained	bag-set	bag-set		
015-chain_10-rename_local_variable	chain_10	rename_local_variable	super	contained	bag-set	bag-set		
016-chain_10-rename_local_variable	chain_10	rename_local_variable	both	contained	bag-set	bag-set		
017-chain_10-rename_member	chain_10	rename_member	sub	not contained	bag-set	bag-set		
018-chain_10-rename_member	chain_10	rename_member	super	not contained	bag-set	bag-set		
019-chain_10-reorder_body	chain_10	reorder_body	sub	contained	bag-set	bag-set		
020-chain_10-reorder_body	chain_10	reorder_body	super	contained	bag-set	bag-set		
021-chain_10-reorder_body	chain_10	reorder_body	both	contained	bag-set	bag-set		
022-chain_10-swap_constant	chain_10	swap_constant	sub	not contained	bag-set	bag-set		
