id	query	operator	side	expected	sub_semantics	super_semantics	sub_federation	super_federation
001-branching_10-add_fresh_variable_clause_at_contacted_member_to_sub	branching_10	add_fresh_variable_clause_at_contacted_member_to_sub	sub	not contained	bag-set	bag-set		
002-branching_10-add_fresh_variable_clause_at_new_member_to_sub	branching_10	add_fresh_variable_clause_at_new_member_to_sub	sub	not contained	bag-set	bag-set		
003-branching_10-add_member_to_super	branching_10	add_member_to_super	super	not contained	bag-set	bag-set		
004-branching_10-add_shared_variable_clause_to_sub	branching_10	add_shared_variable_clause_to_sub	sub	contained	bag-set	bag-set		
005-branching_local_10-assign_federation	branching_local_10	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
006-branching_10-bind_local_variable	branching_10	bind_local_variable	sub	contained	bag-set	bag-set		
007-branching_10-drop_head_variable	branching_10	drop_head_variable	sub	not contained	bag-set	bag-set		
008-branching_10-drop_head_variable	branching_10	drop_head_variable	super	not contained	bag-set	bag-set		
009-branching_10-drop_head_variable	branching_10	drop_head_variable	both	contained	bag-set	bag-set		
010-branching_10-drop_variable_from_super	branching_10	drop_variable_from_super	super	not contained	bag-set	bag-set		
011-branching_10-identity	branching_10	identity	both	contained	bag-set	bag-set		
012-branching_10-relax_clause	branching_10	relax_clause	sub	not contained	bag-set	bag-set		
013-branching_10-relax_clause	branching_10	relax_clause	super	contained	bag-set	bag-set		
014-branching_10-rename_local_variable	branching_10	rename_local_variable	sub	contained	bag-set	bag-set		
015-branching_10-rename_local_variable	branching_10	rename_local_variable	super	contained	bag-set	bag-set		
016-branching_10-rename_local_variable	branching_10	rename_local_variable	both	contained	bag-set	bag-set		
017-branching_10-rename_member	branching_10	rename_member	sub	not contained	bag-set	bag-set		
018-branching_10-rename_member	branching_10	rename_member	super	not contained	bag-set	bag-set		
019-branching_10-reorder_body	branching_10	reorder_body	sub	contained	bag-set	bag-set		
020-branching_10-reorder_body	branching_10	reorder_body	super	contained	bag-set	bag-set		
021-branching_10-reorder_body	branching_10	reorder_body	both	contained	bag-set	bag-set		
022-branching_10-swap_constant	branching_10	swap_constant	sub	not contained	bag-set	bag-set		
023-branching_10-swap_constant	branching_10	swap_constant	super	not contained	bag-set	bag-set		
024-branching_local_10-widen_virtual_member	branching_local_10	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c	http://example.org/a http://example.org/b
025-branching_local_10-widen_virtual_member	branching_local_10	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b http://example.org/c
026-branching_100-add_fresh_variable_clause_at_contacted_member_to_sub	branching_100	add_fresh_variable_clause_at_contacted_member_to_sub	sub	not contained	bag-set	bag-set		
027-branching_100-add_fresh_variable_clause_at_new_member_to_sub	branching_100	add_fresh_variable_clause_at_new_member_to_sub	sub	not contained	bag-set	bag-set		
028-branching_100-add_member_to_super	branching_100	add_member_to_super	super	not contained	bag-set	bag-set		
029-branching_100-add_shared_variable_clause_to_sub	branching_100	add_shared_variable_clause_to_sub	sub	contained	bag-set	bag-set		
030-branching_local_100-assign_federation	branching_local_100	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
031-branching_100-bind_local_variable	branching_100	bind_local_variable	sub	contained	bag-set	bag-set		
032-branching_100-drop_head_variable	branching_100	drop_head_variable	sub	not contained	bag-set	bag-set		
033-branching_100-drop_head_variable	branching_100	drop_head_variable	super	not contained	bag-set	bag-set		
034-branching_100-drop_head_variable	branching_100	drop_head_variable	both	contained	bag-set	bag-set		
035-branching_100-drop_variable_from_super	branching_100	drop_variable_from_super	super	not contained	bag-set	bag-set		
036-branching_100-identity	branching_100	identity	both	contained	bag-set	bag-set		
037-branching_100-relax_clause	branching_100	relax_clause	sub	not contained	bag-set	bag-set		
038-branching_100-relax_clause	branching_100	relax_clause	super	contained	bag-set	bag-set		
039-branching_100-rename_local_variable	branching_100	rename_local_variable	sub	contained	bag-set	bag-set		
040-branching_100-rename_local_variable	branching_100	rename_local_variable	super	contained	bag-set	bag-set		
041-branching_100-rename_local_variable	branching_100	rename_local_variable	both	contained	bag-set	bag-set		
042-branching_100-rename_member	branching_100	rename_member	sub	not contained	bag-set	bag-set		
043-branching_100-rename_member	branching_100	rename_member	super	not contained	bag-set	bag-set		
044-branching_100-reorder_body	branching_100	reorder_body	sub	contained	bag-set	bag-set		
045-branching_100-reorder_body	branching_100	reorder_body	super	contained	bag-set	bag-set		
046-branching_100-reorder_body	branching_100	reorder_body	both	contained	bag-set	bag-set		
047-branching_100-swap_constant	branching_100	swap_constant	sub	not contained	bag-set	bag-set		
048-branching_100-swap_constant	branching_100	swap_constant	super	not contained	bag-set	bag-set		
049-branching_local_100-widen_virtual_member	branching_local_100	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c	http://example.org/a http://example.org/b
050-branching_local_100-widen_virtual_member	branching_local_100	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b http://example.org/c
051-branching_1000-add_fresh_variable_clause_at_contacted_member_to_sub	branching_1000	add_fresh_variable_clause_at_contacted_member_to_sub	sub	not contained	bag-set	bag-set		
052-branching_1000-add_fresh_variable_clause_at_new_member_to_sub	branching_1000	add_fresh_variable_clause_at_new_member_to_sub	sub	not contained	bag-set	bag-set		
053-branching_1000-add_member_to_super	branching_1000	add_member_to_super	super	not contained	bag-set	bag-set		
054-branching_1000-add_shared_variable_clause_to_sub	branching_1000	add_shared_variable_clause_to_sub	sub	contained	bag-set	bag-set		
055-branching_local_1000-assign_federation	branching_local_1000	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
056-branching_1000-bind_local_variable	branching_1000	bind_local_variable	sub	contained	bag-set	bag-set		
057-branching_1000-drop_head_variable	branching_1000	drop_head_variable	sub	not contained	bag-set	bag-set		
058-branching_1000-drop_head_variable	branching_1000	drop_head_variable	super	not contained	bag-set	bag-set		
059-branching_1000-drop_head_variable	branching_1000	drop_head_variable	both	contained	bag-set	bag-set		
060-branching_1000-drop_variable_from_super	branching_1000	drop_variable_from_super	super	not contained	bag-set	bag-set		
061-branching_1000-identity	branching_1000	identity	both	contained	bag-set	bag-set		
062-branching_1000-relax_clause	branching_1000	relax_clause	sub	not contained	bag-set	bag-set		
063-branching_1000-relax_clause	branching_1000	relax_clause	super	contained	bag-set	bag-set		
064-branching_1000-rename_local_variable	branching_1000	rename_local_variable	sub	contained	bag-set	bag-set		
065-branching_1000-rename_local_variable	branching_1000	rename_local_variable	super	contained	bag-set	bag-set		
066-branching_1000-rename_local_variable	branching_1000	rename_local_variable	both	contained	bag-set	bag-set		
067-branching_1000-rename_member	branching_1000	rename_member	sub	not contained	bag-set	bag-set		
068-branching_1000-rename_member	branching_1000	rename_member	super	not contained	bag-set	bag-set		
069-branching_1000-reorder_body	branching_1000	reorder_body	sub	contained	bag-set	bag-set		
070-branching_1000-reorder_body	branching_1000	reorder_body	super	contained	bag-set	bag-set		
071-branching_1000-reorder_body	branching_1000	reorder_body	both	contained	bag-set	bag-set		
072-branching_1000-swap_constant	branching_1000	swap_constant	sub	not contained	bag-set	bag-set		
073-branching_1000-swap_constant	branching_1000	swap_constant	super	not contained	bag-set	bag-set		
074-branching_local_1000-widen_virtual_member	branching_local_1000	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c	http://example.org/a http://example.org/b
075-branching_local_1000-widen_virtual_member	branching_local_1000	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b http://example.org/c
